id,module,capability,gitkraken_scope,our_priority,target_release,dependency,evidence
APP-01,应用与仓库,打开本地仓库,路径选择与最近仓库,P0,MVP,文件访问授权,GitKraken Docs
APP-02,应用与仓库,克隆仓库,HTTPS/SSH URL 与托管平台列表,P0,MVP,Git 进程与凭据,GitKraken Docs
APP-03,应用与仓库,初始化仓库,创建新本地仓库,P0,MVP,Git 进程,GitKraken Docs
APP-04,应用与仓库,仓库管理中心,分组浏览全部仓库,P1,v1.0,本地元数据存储,GitKraken Docs
APP-05,应用与仓库,多标签页,仓库与工作树独立标签,P0,MVP,窗口状态恢复,GitKraken client
APP-06,应用与仓库,最近仓库与收藏,快速打开 1-9 收藏仓库,P0,MVP,本地元数据存储,GitKraken client
APP-07,应用与仓库,多配置 Profile,隔离身份集成与 UI 配置,P2,v2.0,账户系统,GitKraken Docs
APP-08,应用与仓库,主题与外观,深浅主题图谱字段日期头像缩放,P1,v1.0,设计系统,GitKraken Docs
APP-09,应用与仓库,外部编辑器与 Finder,在 Xcode/VS Code/Finder 中打开,P0,MVP,NSWorkspace,GitKraken client
APP-10,应用与仓库,Deep Link,gitkraken:// 打开仓库提交补丁,P2,v2.0,URL scheme,GitKraken Docs
APP-11,应用与仓库,活动日志,显示实际 Git 命令输出与错误,P0,MVP,操作日志,GitKraken Docs
APP-12,应用与仓库,自动更新,检查下载重启安装,P1,v1.0,Sparkle/签名,GitKraken client
APP-13,应用与仓库,Apple Silicon 单架构分发,macOS 14+ arm64 only,P0,MVP,arm64 发布与测试矩阵,产品决策
APP-14,应用与仓库,捆绑 Git,固定 arm64 Git 下载即用且可选自定义 Git,P0,MVP,签名/SBOM/GPL 合规/安全更新,产品决策
GRAPH-01,提交图谱,DAG 提交图,分支车道合并线提交节点,P0,MVP,增量图算法,GitKraken Docs
GRAPH-02,提交图谱,WIP 节点,工作区改动显示在图顶端,P0,MVP,状态监听,GitKraken Docs
GRAPH-03,提交图谱,图谱字段定制,作者头像日期 SHA 信息列,P1,v1.0,表格列配置,GitKraken Docs
GRAPH-04,提交图谱,图谱缩放与列宽,缩放比例和可拖拽分栏,P1,v1.0,布局持久化,GitKraken Docs
GRAPH-05,提交图谱,隐藏引用,隐藏分支标签远端,P1,v1.0,过滤状态,GitKraken Docs
GRAPH-06,提交图谱,Solo 引用,仅显示选中引用相关历史,P1,v1.0,可达性查询,GitKraken Docs
GRAPH-07,提交图谱,Ghost branch,显示提交最近所属分支,P2,v2.0,包含关系索引,GitKraken Docs
GRAPH-08,提交图谱,固定分支,固定车道并快速跳转,P1,v1.0,图布局状态,GitKraken 12.3.1
GRAPH-09,提交图谱,提交多选,连续与非连续选择并合并 diff,P0,MVP,选择模型,GitKraken Docs
GRAPH-10,提交图谱,提交搜索,按消息作者 SHA 文件日期搜索,P0,MVP,SQLite FTS5/流式 Git,GitKraken Docs
GRAPH-11,提交图谱,最大提交数,按需加载与渲染上限,P0,MVP,分页和虚拟化,GitKraken performance docs
FILE-01,文件与差异,工作区文件状态,新增修改删除重命名冲突,P0,MVP,porcelain v2 解析,GitKraken Docs
FILE-02,文件与差异,文件过滤,按路径与状态过滤,P0,MVP,状态索引,GitKraken Docs
FILE-03,文件与差异,文件级暂存/取消暂存,含批量操作,P0,MVP,Git index,GitKraken Docs
FILE-04,文件与差异,Hunk 暂存/取消暂存,局部构建提交,P0,MVP,补丁应用,GitKraken Docs
FILE-05,文件与差异,行级暂存/取消暂存,精确选择改动行,P0,v1.0,补丁生成器,GitKraken/Tower
FILE-06,文件与差异,丢弃文件/Hunk/行改动,危险操作二次确认,P0,MVP,安全快照与 restore,GitKraken Docs
FILE-07,文件与差异,Ignore,写入 .gitignore 与 exclude,P0,MVP,ignore 规则,GitKraken Docs
FILE-08,文件与差异,Inline diff,单栏增删展示,P0,MVP,虚拟化 diff,GitKraken Docs
FILE-09,文件与差异,Split diff,双栏对照,P0,v1.0,同步滚动,GitKraken Docs
FILE-10,文件与差异,Hunk diff,块级上下文与恢复,P0,MVP,diff 解析,GitKraken Docs
FILE-11,文件与差异,语法高亮,多语言差异高亮,P1,v1.0,Tree-sitter,GitKraken/Sublime Merge
